Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Average,Mode,Median,,Standard Deviation
180,01-01-2023,CUST180,Male,41,Clothing,3,300,900,311,64,42,,325.4539138
522,01-01-2023,CUST522,Male,46,Beauty,3,500,1500,512.25,43,3,,543.3204446
559,01-01-2023,CUST559,Female,40,Clothing,4,300,1200,386,,50,,443.2795393
163,02-01-2023,CUST163,Female,64,Clothing,3,50,150,66.75,,135,,53.08789145
303,02-01-2023,CUST303,Male,19,Electronics,3,30,90,35.5,,,,31.57802836
421,02-01-2023,CUST421,Female,37,Clothing,3,500,1500,510,,46,,543.4419817
979,02-01-2023,CUST979,Female,19,Beauty,1,25,25,17.5,,,,9.800350759
610,03-01-2023,CUST610,Female,26,Beauty,2,300,600,232,,,,213.5058547
32,04-01-2023,CUST032,Male,30,Beauty,3,30,90,38.25,,,,31.51060089
231,04-01-2023,CUST231,Female,23,Clothing,3,50,150,56.5,,,,53.3061617
683,04-01-2023,CUST683,Male,38,Beauty,2,500,1000,385,,,,356.3834838
367,05-01-2023,CUST367,Female,57,Electronics,1,50,50,39.5,,,,20.16300759
391,05-01-2023,CUST391,Male,19,Beauty,2,25,50,24,,,,16.99080634
432,05-01-2023,CUST432,Female,60,Electronics,2,500,1000,390.5,,,,356.0565922
150,06-01-2023,CUST150,Female,58,Electronics,4,30,120,53,,,,43.04866432
845,06-01-2023,CUST845,Male,54,Clothing,1,500,500,263.75,,,,205.953224
797,07-01-2023,CUST797,Male,40,Clothing,3,25,75,35.75,,,,26.09679997
921,07-01-2023,CUST921,Male,51,Electronics,3,25,75,38.5,,,,26.15190003
291,08-01-2023,CUST291,Male,60,Clothing,2,300,600,240.5,,,,213.0244631
907,08-01-2023,CUST907,Female,45,Electronics,1,25,25,24,,,,10.25609575
860,09-01-2023,CUST860,Male,63,Clothing,4,50,200,79.25,,,,72.51322616
184,10-01-2023,CUST184,Male,31,Electronics,4,50,200,71.25,,,,72.70775728
734,10-01-2023,CUST734,Female,27,Clothing,1,30,30,22,,,,11.86117616
225,11-01-2023,CUST225,Female,57,Beauty,4,25,100,46.5,,,,35.71829888
679,11-01-2023,CUST679,Female,18,Beauty,3,30,90,35.25,,,,31.58637711
746,11-01-2023,CUST746,Female,33,Clothing,3,30,90,39,,,,31.5
3,13-01-2023,CUST003,Male,50,Electronics,1,30,30,27.75,,,,12.26704809
464,13-01-2023,CUST464,Male,38,Electronics,2,300,600,235,,,,213.3288248
484,13-01-2023,CUST484,Female,19,Clothing,4,300,1200,380.75,,,,443.5414078
591,13-01-2023,CUST591,Male,53,Electronics,4,25,100,45.5,,,,35.70254718
21,14-01-2023,CUST021,Female,50,Beauty,1,500,500,262.75,,,,206.0173214
708,14-01-2023,CUST708,Female,43,Beauty,3,300,900,311.5,,,,325.4280594
713,14-01-2023,CUST713,Male,34,Beauty,3,25,75,34.25,,,,26.08961419
768,14-01-2023,CUST768,Female,24,Beauty,3,25,75,31.75,,,,26.1135591
499,15-01-2023,CUST499,Male,46,Beauty,2,30,60,34.5,,,,20.57721738
697,15-01-2023,CUST697,Male,53,Clothing,1,500,500,263.5,,,,205.9691649
831,15-01-2023,CUST831,Male,27,Electronics,4,25,100,39,,,,35.72814017
15,16-01-2023,CUST015,Female,42,Electronics,4,500,2000,636.5,,,,739.8417377
743,16-01-2023,CUST743,Female,34,Beauty,4,500,2000,634.5,,,,739.9426815
14,17-01-2023,CUST014,Male,64,Clothing,4,30,120,54.5,,,,43.06445025
